0.000,0.885,-0.007,0.000,17.023
1.000,0.889,-0.026,0.033,16.893
2.000,0.885,-0.023,0.051,16.893
3.000,0.901,0.004,0.033,16.893
4.000,0.903,0.004,0.015,16.652
5.000,0.905,0.008,0.005,134.025
6.000,0.885,-0.008,0.006,134.817
7.000,0.903,-0.012,0.002,134.817
8.000,0.885,-0.007,-0.024,134.817
9.000,0.883,-0.007,-0.002,15.507
10.000,0.905,0.006,0.005,13.726
11.000,0.885,-0.008,0.053,15.139
12.000,0.884,0.003,-0.003,14.755
13.000,0.884,0.003,-0.012,14.580
14.000,0.901,0.006,-0.057,14.441
15.000,0.887,0.006,-0.007,14.368
16.000,0.914,0.004,-0.000,14.191
17.000,1.029,0.027,0.023,13.980
18.000,1.212,0.013,0.001,13.688
19.000,1.382,0.011,-0.007,13.462
20.000,1.603,-0.023,-0.017,13.407
21.000,1.799,-0.024,-0.008,12.029
22.000,1.948,-0.025,0.002,13.164
23.000,1.947,-0.004,0.011,13.041
24.000,1.998,0.007,0.004,13.067
25.000,1.975,-0.000,0.009,13.076
26.000,1.989,-0.001,0.023,12.998
27.000,1.990,0.002,0.023,11.724
28.000,2.084,0.014,0.005,12.912
29.000,2.056,0.010,-0.027,12.912
30.000,2.063,-0.002,-0.033,12.861
31.000,2.079,0.002,-0.027,11.577
32.000,2.092,0.006,-0.007,12.878
33.000,2.095,0.012,0.012,12.878
34.000,2.096,-0.010,0.026,12.904
35.000,2.144,-0.001,0.028,12.777
36.000,2.161,-0.005,0.043,11.421
37.000,2.161,0.015,0.068,12.760
38.000,2.120,0.001,0.023,12.752
39.000,2.123,0.011,-0.033,12.744
40.000,2.125,0.010,-0.099,12.769
41.000,2.128,-0.002,-0.030,12.760
