"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.779"	"-0.012"	"0.009"	"134.025"
"1.000"	"0.803"	"0.001"	"0.003"	"134.817"
"2.000"	"0.802"	"0.010"	"-0.014"	"134.817"
"3.000"	"0.804"	"0.020"	"-0.026"	"134.025"
"4.000"	"0.803"	"0.012"	"-0.024"	"134.817"
"5.000"	"0.822"	"0.007"	"-0.003"	"134.025"
"6.000"	"0.803"	"0.004"	"-0.000"	"134.817"
"7.000"	"0.804"	"-0.000"	"0.018"	"134.025"
"8.000"	"0.822"	"-0.022"	"0.008"	"134.817"
"9.000"	"0.823"	"-0.029"	"0.020"	"134.817"
"10.000"	"0.803"	"-0.007"	"-0.020"	"134.817"
"11.000"	"0.801"	"0.012"	"-0.016"	"134.817"
"12.000"	"0.803"	"0.023"	"-0.027"	"134.025"
"13.000"	"0.804"	"0.006"	"-0.007"	"134.025"
"14.000"	"0.818"	"0.012"	"0.009"	"134.025"
"15.000"	"0.804"	"-0.007"	"-0.002"	"134.817"
"16.000"	"0.803"	"-0.025"	"0.021"	"134.025"
"17.000"	"0.802"	"-0.024"	"-0.007"	"134.817"
"18.000"	"0.823"	"-0.003"	"0.023"	"134.817"
"19.000"	"0.791"	"0.026"	"-0.011"	"134.817"
"20.000"	"0.803"	"0.007"	"0.015"	"134.817"
"21.000"	"0.803"	"0.000"	"-0.021"	"134.817"
"22.000"	"0.822"	"-0.030"	"0.014"	"134.025"
"23.000"	"0.917"	"-0.005"	"-0.012"	"134.025"
"24.000"	"1.132"	"-0.013"	"0.024"	"134.025"
"25.000"	"1.399"	"0.021"	"-0.003"	"134.025"
"26.000"	"1.624"	"0.013"	"0.007"	"134.025"
"27.000"	"1.890"	"0.035"	"-0.012"	"134.025"
"28.000"	"2.183"	"0.023"	"-0.018"	"133.241"
"29.000"	"2.478"	"0.007"	"0.000"	"133.241"
"30.000"	"2.693"	"-0.010"	"-0.016"	"133.241"
"31.000"	"2.960"	"-0.027"	"0.012"	"133.241"
"32.000"	"3.230"	"-0.009"	"-0.015"	"133.241"
"33.000"	"3.525"	"-0.013"	"0.027"	"10.803"
"34.000"	"3.818"	"0.008"	"0.004"	"10.572"
"35.000"	"4.111"	"-0.004"	"0.020"	"10.385"
"36.000"	"4.377"	"-0.001"	"-0.011"	"10.107"
"37.000"	"4.738"	"-0.010"	"-0.005"	"9.450"
"38.000"	"4.843"	"0.002"	"-0.023"	"9.201"
"39.000"	"4.878"	"0.007"	"-0.016"	"9.554"
"40.000"	"4.828"	"0.018"	"-0.008"	"9.335"
"41.000"	"4.883"	"0.007"	"0.016"	"9.104"
"42.000"	"4.889"	"-0.000"	"0.019"	"9.113"
"43.000"	"4.996"	"-0.010"	"0.009"	"8.611"
