"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.808"	"-0.005"	"-0.004"	"134.025"
"1.000"	"0.824"	"-0.003"	"0.001"	"134.025"
"2.000"	"0.823"	"0.006"	"-0.005"	"133.241"
"3.000"	"0.806"	"0.013"	"-0.012"	"134.025"
"4.000"	"0.808"	"0.005"	"-0.020"	"134.025"
"5.000"	"0.809"	"-0.009"	"0.018"	"133.241"
"6.000"	"0.808"	"-0.012"	"0.013"	"134.025"
"7.000"	"0.809"	"-0.018"	"0.007"	"134.025"
"8.000"	"0.786"	"0.002"	"-0.043"	"133.241"
"9.000"	"0.808"	"0.012"	"-0.032"	"134.025"
"10.000"	"0.815"	"0.031"	"-0.003"	"134.025"
"11.000"	"0.808"	"0.017"	"0.033"	"133.241"
"12.000"	"0.808"	"-0.002"	"0.030"	"134.025"
"13.000"	"0.806"	"-0.009"	"0.016"	"134.025"
"14.000"	"0.811"	"-0.014"	"0.017"	"133.241"
"15.000"	"0.825"	"-0.008"	"0.040"	"133.241"
"16.000"	"0.823"	"-0.002"	"0.016"	"133.241"
"17.000"	"0.808"	"-0.004"	"-0.010"	"134.025"
"18.000"	"0.806"	"0.006"	"-0.071"	"134.025"
"19.000"	"0.997"	"-0.007"	"-0.032"	"133.241"
"20.000"	"1.150"	"0.004"	"-0.016"	"133.241"
"21.000"	"1.333"	"-0.016"	"0.046"	"133.241"
"22.000"	"1.543"	"-0.010"	"0.015"	"133.241"
"23.000"	"1.731"	"-0.017"	"0.038"	"133.241"
"24.000"	"1.962"	"0.016"	"-0.003"	"133.241"
"25.000"	"2.194"	"0.008"	"0.013"	"133.241"
"26.000"	"2.517"	"0.027"	"-0.036"	"133.241"
"27.000"	"2.626"	"0.003"	"-0.023"	"133.241"
"28.000"	"3.007"	"0.023"	"-0.044"	"132.467"
"29.000"	"3.192"	"0.006"	"-0.020"	"132.467"
"30.000"	"3.439"	"0.017"	"-0.019"	"132.467"
"31.000"	"3.689"	"-0.003"	"0.000"	"132.467"
"32.000"	"3.954"	"-0.011"	"0.010"	"131.701"
"33.000"	"4.105"	"-0.030"	"0.026"	"131.701"
"34.000"	"4.584"	"-0.017"	"0.019"	"131.701"
"35.000"	"4.698"	"-0.006"	"0.000"	"131.701"
"36.000"	"4.841"	"0.008"	"-0.017"	"131.701"
"37.000"	"4.805"	"0.005"	"-0.005"	"131.701"
"38.000"	"4.962"	"0.006"	"0.010"	"131.701"
