"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.758"	"-0.033"	"0.015"	"16.652"
"1.000"	"0.758"	"-0.016"	"0.046"	"16.652"
"2.000"	"0.774"	"0.010"	"0.003"	"14.100"
"3.000"	"0.775"	"0.033"	"0.012"	"14.368"
"4.000"	"0.762"	"0.025"	"-0.001"	"16.231"
"5.000"	"0.762"	"0.018"	"-0.007"	"16.047"
"6.000"	"0.762"	"-0.004"	"0.000"	"15.842"
"7.000"	"0.775"	"-0.006"	"-0.021"	"15.667"
"8.000"	"0.774"	"-0.005"	"0.008"	"15.315"
"9.000"	"0.775"	"0.003"	"-0.000"	"15.128"
"10.000"	"0.762"	"0.001"	"0.024"	"14.766"
"11.000"	"0.765"	"0.025"	"0.003"	"14.623"
"12.000"	"0.760"	"0.019"	"0.003"	"14.315"
"13.000"	"0.764"	"0.012"	"-0.013"	"14.120"
"14.000"	"0.780"	"-0.031"	"0.018"	"14.000"
"15.000"	"0.760"	"-0.024"	"0.004"	"13.735"
"16.000"	"0.776"	"-0.023"	"0.025"	"13.398"
"17.000"	"0.797"	"0.012"	"-0.038"	"13.217"
"18.000"	"0.955"	"-0.009"	"-0.003"	"12.946"
"19.000"	"1.196"	"0.008"	"-0.027"	"12.769"
"20.000"	"1.346"	"-0.021"	"0.029"	"12.459"
"21.000"	"1.493"	"0.008"	"-0.001"	"12.287"
"22.000"	"1.661"	"0.004"	"0.002"	"12.066"
"23.000"	"1.896"	"0.023"	"-0.018"	"11.860"
"24.000"	"2.106"	"0.016"	"-0.028"	"11.661"
"25.000"	"2.319"	"-0.010"	"-0.007"	"11.612"
"26.000"	"2.449"	"-0.022"	"-0.007"	"11.354"
"27.000"	"2.623"	"-0.034"	"0.051"	"11.069"
"28.000"	"2.764"	"-0.003"	"0.030"	"10.749"
"29.000"	"2.948"	"0.030"	"0.026"	"10.619"
"30.000"	"3.202"	"0.026"	"-0.022"	"10.379"
"31.000"	"3.351"	"0.016"	"-0.019"	"10.214"
"32.000"	"3.597"	"-0.004"	"-0.021"	"9.997"
"33.000"	"3.832"	"0.008"	"-0.005"	"9.170"
"34.000"	"3.903"	"-0.002"	"0.008"	"9.694"
"35.000"	"4.015"	"-0.012"	"0.027"	"9.540"
"36.000"	"4.019"	"-0.017"	"0.020"	"9.526"
"37.000"	"4.166"	"0.021"	"-0.007"	"8.818"
"38.000"	"4.276"	"0.023"	"-0.018"	"9.358"
"39.000"	"4.377"	"0.029"	"-0.021"	"9.354"
"40.000"	"4.279"	"-0.026"	"0.010"	"9.354"
"41.000"	"4.279"	"-0.025"	"0.014"	"9.354"
"42.000"	"4.280"	"-0.024"	"0.024"	"9.349"
"43.000"	"4.379"	"0.023"	"-0.006"	"9.322"
"44.000"	"4.280"	"0.027"	"-0.019"	"9.117"
