"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.764"	"-0.013"	"0.008"	"19.159"
"1.000"	"0.782"	"0.010"	"-0.003"	"19.251"
"2.000"	"0.765"	"0.018"	"-0.013"	"19.215"
"3.000"	"0.765"	"0.014"	"-0.013"	"15.629"
"4.000"	"0.765"	"0.002"	"-0.008"	"134.025"
"5.000"	"0.763"	"0.006"	"-0.004"	"134.025"
"6.000"	"0.765"	"0.005"	"0.019"	"134.025"
"7.000"	"0.764"	"-0.002"	"0.030"	"134.025"
"8.000"	"0.765"	"-0.028"	"0.015"	"134.025"
"9.000"	"0.770"	"-0.019"	"-0.010"	"134.025"
"10.000"	"0.764"	"-0.010"	"-0.021"	"134.025"
"11.000"	"0.781"	"-0.004"	"0.001"	"134.025"
"12.000"	"0.763"	"-0.011"	"-0.005"	"17.244"
"13.000"	"0.764"	"-0.021"	"0.011"	"17.081"
"14.000"	"0.764"	"-0.000"	"-0.009"	"16.850"
"15.000"	"0.778"	"0.039"	"0.005"	"13.970"
"16.000"	"0.764"	"0.049"	"-0.016"	"16.405"
"17.000"	"0.782"	"0.051"	"-0.010"	"16.297"
"18.000"	"0.765"	"-0.012"	"0.002"	"15.291"
"19.000"	"0.781"	"-0.023"	"0.003"	"13.490"
"20.000"	"0.765"	"-0.043"	"0.007"	"15.459"
"21.000"	"0.782"	"-0.016"	"-0.007"	"15.303"
"22.000"	"0.765"	"-0.005"	"-0.007"	"14.944"
"23.000"	"0.764"	"-0.024"	"0.010"	"14.956"
"24.000"	"0.764"	"-0.006"	"-0.008"	"14.580"
"25.000"	"0.768"	"-0.015"	"0.003"	"14.431"
"26.000"	"0.765"	"0.042"	"-0.028"	"14.060"
"27.000"	"0.780"	"0.015"	"0.007"	"13.990"
"28.000"	"0.784"	"0.041"	"-0.003"	"13.688"
"29.000"	"0.953"	"-0.023"	"0.031"	"13.555"
"30.000"	"1.228"	"-0.008"	"0.000"	"11.605"
"31.000"	"1.490"	"-0.036"	"-0.005"	"13.146"
"32.000"	"1.710"	"0.003"	"-0.025"	"12.895"
"33.000"	"1.962"	"0.002"	"0.017"	"12.620"
"34.000"	"2.213"	"0.014"	"0.045"	"12.396"
"35.000"	"2.509"	"0.003"	"0.030"	"12.287"
"36.000"	"2.720"	"0.030"	"-0.013"	"12.066"
"37.000"	"3.055"	"0.045"	"-0.039"	"11.875"
"38.000"	"3.323"	"0.039"	"-0.014"	"11.696"
"39.000"	"3.505"	"-0.026"	"0.013"	"11.448"
"40.000"	"3.773"	"-0.056"	"0.008"	"11.255"
"41.000"	"4.031"	"-0.043"	"-0.009"	"11.050"
"42.000"	"4.287"	"0.014"	"-0.030"	"10.785"
"43.000"	"4.545"	"0.014"	"-0.005"	"10.613"
"44.000"	"4.653"	"0.010"	"-0.002"	"10.452"
