"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.773"	"0.013"	"0.014"	"18.713"
"1.000"	"0.787"	"0.013"	"-0.013"	"16.351"
"2.000"	"0.773"	"0.005"	"0.019"	"18.643"
"3.000"	"0.771"	"0.004"	"0.007"	"18.678"
"4.000"	"0.774"	"0.005"	"0.010"	"18.437"
"5.000"	"0.773"	"-0.003"	"-0.026"	"18.186"
"6.000"	"0.773"	"-0.009"	"-0.014"	"18.006"
"7.000"	"0.790"	"0.001"	"-0.017"	"18.006"
"8.000"	"0.790"	"-0.011"	"0.007"	"15.447"
"9.000"	"0.770"	"-0.006"	"0.011"	"17.578"
"10.000"	"0.791"	"-0.017"	"0.017"	"17.258"
"11.000"	"0.774"	"0.000"	"0.013"	"17.066"
"12.000"	"0.775"	"0.003"	"-0.006"	"17.110"
"13.000"	"0.774"	"-0.005"	"0.001"	"16.652"
"14.000"	"0.790"	"0.005"	"0.002"	"15.209"
"15.000"	"0.791"	"0.015"	"-0.010"	"16.459"
"16.000"	"0.771"	"0.023"	"-0.016"	"14.855"
"17.000"	"0.771"	"0.013"	"-0.023"	"16.086"
"18.000"	"0.787"	"-0.009"	"-0.006"	"15.867"
"19.000"	"0.774"	"0.009"	"-0.024"	"15.642"
"20.000"	"0.776"	"-0.005"	"-0.003"	"15.291"
"21.000"	"0.773"	"0.012"	"0.007"	"15.139"
"22.000"	"0.791"	"-0.019"	"0.046"	"13.640"
"23.000"	"0.773"	"-0.006"	"0.015"	"14.821"
"24.000"	"0.790"	"-0.020"	"0.008"	"14.505"
"25.000"	"0.778"	"0.004"	"-0.041"	"14.284"
"26.000"	"0.775"	"0.005"	"-0.008"	"14.161"
"27.000"	"0.771"	"0.002"	"-0.015"	"13.822"
"28.000"	"0.773"	"-0.014"	"0.034"	"13.678"
"29.000"	"0.791"	"-0.016"	"-0.002"	"12.451"
"30.000"	"0.790"	"-0.013"	"0.017"	"13.217"
"31.000"	"0.779"	"0.003"	"-0.024"	"12.912"
"32.000"	"0.978"	"-0.003"	"0.015"	"11.831"
"33.000"	"1.180"	"0.001"	"-0.017"	"12.539"
"34.000"	"1.379"	"-0.012"	"0.020"	"12.302"
"35.000"	"1.609"	"0.007"	"-0.015"	"10.839"
"36.000"	"1.758"	"0.009"	"0.034"	"11.846"
"37.000"	"1.929"	"0.012"	"0.001"	"11.647"
"38.000"	"2.113"	"-0.014"	"0.021"	"11.564"
"39.000"	"2.319"	"-0.017"	"-0.031"	"10.858"
"40.000"	"2.606"	"-0.013"	"-0.013"	"10.567"
"41.000"	"2.788"	"0.009"	"-0.010"	"11.075"
"42.000"	"3.022"	"0.019"	"0.020"	"10.821"
"43.000"	"3.256"	"0.018"	"0.012"	"10.660"
"44.000"	"3.362"	"0.020"	"-0.001"	"9.899"
