"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.729"	"0.008"	"0.016"	"17.532"
"1.000"	"0.729"	"0.003"	"0.010"	"17.288"
"2.000"	"0.730"	"-0.005"	"0.020"	"17.409"
"3.000"	"0.746"	"-0.013"	"0.019"	"17.364"
"4.000"	"0.745"	"-0.012"	"0.024"	"17.379"
"5.000"	"0.728"	"-0.009"	"0.007"	"17.349"
"6.000"	"0.748"	"-0.008"	"0.007"	"17.037"
"7.000"	"0.734"	"-0.007"	"0.004"	"17.110"
"8.000"	"0.728"	"-0.004"	"0.009"	"17.096"
"9.000"	"0.729"	"0.000"	"0.004"	"16.850"
"10.000"	"0.729"	"0.010"	"-0.005"	"16.835"
"11.000"	"0.730"	"0.015"	"-0.011"	"15.186"
"12.000"	"0.730"	"0.013"	"-0.004"	"16.680"
"13.000"	"0.728"	"-0.001"	"0.003"	"16.680"
"14.000"	"0.730"	"-0.008"	"0.006"	"16.722"
"15.000"	"0.730"	"-0.008"	"-0.002"	"16.708"
"16.000"	"0.730"	"-0.003"	"-0.003"	"16.680"
"17.000"	"0.743"	"-0.001"	"-0.003"	"15.151"
"18.000"	"0.726"	"-0.001"	"0.000"	"16.652"
"19.000"	"0.729"	"-0.001"	"0.000"	"16.652"
"20.000"	"0.747"	"0.000"	"0.000"	"15.197"
"21.000"	"0.729"	"0.000"	"0.000"	"16.694"
"22.000"	"0.747"	"0.001"	"0.001"	"16.666"
"23.000"	"0.730"	"0.001"	"0.001"	"16.666"
"24.000"	"0.730"	"0.000"	"0.001"	"16.666"
"25.000"	"0.729"	"-0.000"	"-0.001"	"15.186"
"26.000"	"0.730"	"-0.001"	"-0.002"	"16.666"
"27.000"	"0.731"	"-0.001"	"-0.001"	"16.638"
"28.000"	"0.730"	"-0.000"	"-0.000"	"16.652"
"29.000"	"0.729"	"0.000"	"0.000"	"16.680"
"30.000"	"0.742"	"0.000"	"0.000"	"16.666"
"31.000"	"0.729"	"0.000"	"0.000"	"16.965"
"32.000"	"0.730"	"0.000"	"0.000"	"16.666"
"33.000"	"0.746"	"-0.000"	"0.001"	"16.750"
"34.000"	"0.730"	"0.000"	"0.001"	"16.666"
"35.000"	"0.730"	"0.000"	"0.000"	"16.652"
"36.000"	"0.728"	"0.002"	"-0.001"	"16.652"
"37.000"	"0.729"	"0.000"	"-0.001"	"16.694"
"38.000"	"0.708"	"-0.000"	"0.000"	"16.666"
"39.000"	"0.729"	"-0.001"	"0.001"	"14.990"
"40.000"	"0.730"	"0.000"	"0.001"	"16.178"
"41.000"	"0.745"	"-0.003"	"0.025"	"16.271"
"42.000"	"0.728"	"-0.007"	"0.017"	"16.073"
"43.000"	"0.746"	"-0.008"	"-0.002"	"15.867"
"44.000"	"0.729"	"0.001"	"-0.036"	"16.034"
