0.000,0.918,-0.004,-0.010,18.960
1.000,0.933,0.007,-0.023,16.666
2.000,0.918,-0.003,-0.010,16.950
3.000,0.936,-0.018,0.001,18.748
4.000,0.918,-0.018,0.008,18.574
5.000,0.917,-0.011,-0.018,18.403
6.000,0.918,-0.009,-0.035,18.219
7.000,0.918,0.001,-0.031,18.022
8.000,0.918,0.000,0.012,17.861
9.000,0.917,0.020,0.044,17.797
10.000,0.917,-0.002,0.045,17.562
11.000,0.918,0.023,0.000,17.303
12.000,0.918,-0.023,-0.013,17.052
13.000,0.936,0.012,-0.032,16.864
14.000,0.918,-0.009,-0.014,15.024
15.000,0.918,0.026,-0.016,16.446
16.000,0.917,-0.024,-0.001,16.284
17.000,0.937,-0.007,-0.015,15.829
18.000,0.918,0.004,-0.025,14.866
19.000,0.918,0.026,0.002,15.435
20.000,0.918,0.002,0.039,15.291
21.000,0.917,-0.045,0.066,15.128
22.000,0.919,-0.035,0.039,14.956
23.000,0.918,-0.048,0.030,14.602
24.000,1.152,-0.008,0.016,14.441
25.000,1.357,0.043,-0.025,14.284
26.000,1.592,0.091,-0.073,13.960
27.000,1.836,0.081,-0.095,13.822
