0.000,0.835,-0.011,0.013,16.337
1.000,0.848,0.008,0.000,14.274
2.000,0.852,0.012,-0.004,16.337
3.000,0.858,0.002,-0.020,16.060
4.000,0.834,-0.016,0.005,15.893
5.000,0.835,-0.013,-0.003,15.766
6.000,0.834,-0.016,0.005,15.471
7.000,0.835,-0.007,-0.015,15.327
8.000,0.833,0.012,-0.000,15.162
9.000,0.830,0.021,0.010,14.978
10.000,0.835,0.007,0.019,14.766
11.000,0.835,-0.014,0.044,14.634
12.000,0.851,-0.006,0.003,14.441
13.000,0.835,0.019,0.013,14.110
14.000,0.834,0.016,-0.039,13.950
15.000,0.839,-0.008,0.007,13.832
16.000,0.835,-0.020,-0.008,13.697
17.000,0.835,-0.008,0.012,13.555
18.000,0.834,-0.007,-0.022,13.226
19.000,0.835,-0.011,-0.028,13.146
20.000,0.834,-0.024,-0.031,12.870
21.000,0.833,-0.002,-0.016,12.735
22.000,0.835,-0.002,0.003,12.507
23.000,0.834,0.014,0.033,12.435
24.000,0.834,-0.002,0.049,12.179
25.000,0.830,0.016,0.035,12.081
26.000,0.863,0.000,0.006,11.846
27.000,1.035,0.022,-0.020,11.654
28.000,1.196,-0.007,-0.007,11.529
29.000,1.357,0.012,-0.027,11.334
30.000,1.569,-0.024,-0.002,11.164
31.000,1.672,-0.014,0.008,11.006
32.000,1.874,-0.017,0.056,10.785
33.000,2.004,0.004,0.056,9.733
34.000,2.206,0.017,0.024,10.475
35.000,2.408,0.028,-0.016,10.290
36.000,2.643,0.029,-0.049,10.139
37.000,2.870,0.033,-0.056,10.002
38.000,3.159,-0.006,-0.041,9.868
39.000,3.217,-0.027,-0.023,9.704
40.000,3.540,-0.046,0.009,9.535
41.000,3.772,-0.017,0.007,9.413
42.000,3.915,0.015,0.008,9.276
43.000,3.988,0.036,0.013,9.272
44.000,4.067,0.024,0.022,9.210
