x-axis,time,z-axis,y-axis,height,average height
-0.002,0,-0.234,0.063,183.052,20.713
-0.029,1,-0.58,0.134,1423.508,53.405
-0.019,2,0.955,0.136,378.35,334.193
0.013,3,-0.298,0.066,67.608,405.956
0.045,4,-0.142,0.102,33.717,415.068
0.094,5,0.199,0.147,25.827,417.247
0.138,6,-0.07,0.042,25.795,385.802
0.081,7,-0.712,0.102,23.106,106.259
0.004,8,0.235,0.157,25.86,35.21
-0.023,9,0.176,0.113,25.253,26.861
-0.066,10,0.147,0.059,25.86,25.168
-0.08,11,0.167,0.08,25.253,25.175
-0.03,12,0.145,0.01,25.347,25.066
0.018,13,0.01,0.015,25.795,25.515
0.018,14,-0.005,0.015,25.893,25.502
0.015,15,-0.007,0.014,25.73,25.63
0.015,16,-0.01,0.015,25.73,25.604
0.016,17,0.008,0.015,25.347,25.699
0.018,18,0,0.016,25.347,25.699
