x-axis,time,z-axis,y-axis,height,average height
0.173,0,-0.08,-0.048,112.138,25.492
0.168,1,-0.508,-0.105,396.78,42.537
0.144,2,1.484,-0.077,215.032,116.539
0.249,3,-0.598,-0.164,246.449,154.177
0.196,4,-0.465,-0.106,262.795,198.091
0.165,5,-0.37,-0.088,80.522,246.639
0.105,6,0.567,0.013,132.467,240.315
0.13,7,0.252,-0.075,205.616,187.453
-0.047,8,0.898,-0.055,98.37,185.57
0.037,9,-0.414,-0.003,167.218,155.954
0.065,10,0.705,-0.07,195.32,136.838
0.155,11,0.307,-0.034,284.723,159.798
0.107,12,-0.037,-0.053,1225.782,190.249
0.269,13,-1.096,0.074,176.116,394.283
0.241,14,0.04,-0.085,53.413,409.832
0.273,15,-0.505,-0.028,26.258,387.071
0.247,16,-0.159,-0.168,23.893,353.258
0.301,17,-0.025,-0.121,23.837,301.092
0.237,18,-0.292,-0.193,23.865,60.703
0.264,19,0.009,-0.185,23.837,30.253
0.224,20,0.091,-0.191,24.005,24.338
0.216,21,0.068,-0.13,23.949,23.887
0.198,22,0.069,-0.095,23.893,23.899
0.159,23,0.079,-0.08,23.949,23.91
0.12,24,0.003,-0.037,13.92,23.927
0.119,25,0,-0.035,24.176,21.943
0.116,26,0.004,-0.035,23.698,21.978
0.117,27,-0.005,-0.035,23.837,21.927
0.12,28,-0.001,-0.034,23.865,21.916
0.121,29,0,-0.034,23.865,21.899
