x-axis,time,z-axis,y-axis,height,average height
0.125,0,0.06,-0.022,447.353,24.069
0.169,1,0.665,-0.111,219.036,108.67
0.17,2,-0.013,-0.057,217.016,147.642
0.17,3,-0.275,0.03,302.68,186.227
0.21,4,-0.748,0.113,295.241,241.99
0.127,5,-0.628,0.098,341.186,296.265
0.083,6,2.163,0.037,173.481,275.032
0.186,7,0.31,-0.091,384.306,265.921
0.172,8,-0.41,-0.076,217.016,299.379
0.168,9,-0.755,-0.069,231.961,282.246
0.19,10,-0.283,-0.11,82.324,269.59
0.196,11,0.087,0.116,130.943,217.818
0.139,12,-0.095,0.133,217.016,209.31
0.159,13,0.68,0.079,101.037,175.852
0.059,14,-0.164,-0.084,223.187,152.656
0.139,15,0.137,-0.003,410.062,150.902
0.167,16,-0.082,-0.084,205.616,216.449
0.048,17,-0.76,-0.039,188.994,231.384
0.069,18,-0.345,-0.163,464.169,225.779
0.052,19,-0.102,-0.102,860.898,298.405
0.041,20,-0.209,0.002,115.586,425.948
0.017,21,0.499,0.134,1285.493,367.053
0.17,22,0.284,0.134,151.803,583.028
0.144,23,0.245,0.247,73.03,575.59
0.172,24,0.084,0.199,38.145,497.362
0.183,25,0.061,0.1,24.794,332.812
0.226,26,-0.228,-0.025,24.794,314.653
0.148,27,-0.247,-0.07,24.854,62.513
0.199,28,-0.017,-0.113,24.763,37.123
0.241,29,0.019,-0.048,24.733,27.47
0.209,30,0.019,-0.078,24.292,24.788
0.146,31,0.044,-0.084,24.763,24.687
0.133,32,0.032,-0.028,24.794,24.681
0.07,33,-0.006,-0.024,19.939,24.669
0.07,34,0.004,-0.03,24.824,23.704
0.07,35,-0.002,-0.03,19.068,23.722
0.07,36,-0.006,-0.028,24.763,22.678
