x-axis,time,z-axis,y-axis,height,average height
0.071,0,-0.463,-0.027,236.604,22.678
-0.016,1,0.369,-0.033,331.834,65.04
-0.027,2,-0.284,0.081,251.674,127.419
-0.006,3,1.012,0.03,124.487,172.789
-0.017,4,-0.026,0.051,351.062,193.872
-0.037,5,-0.53,0.109,612.305,259.132
0.105,6,-0.386,0.163,737.032,334.272
0.121,7,0.864,0.12,597.757,415.312
0.077,8,-0.506,0.305,188.994,484.529
0.05,9,-0.165,0.249,200.34,497.43
0.063,10,0.009,0.176,128.721,467.286
-0.015,11,-0.02,0.145,51.989,370.569
-0.029,12,0.035,0.152,26.772,233.56
0.038,13,0.842,-0.073,25.505,119.363
0.143,14,0.748,-0.125,22.003,86.665
0.175,15,-0.779,-0.061,22.392,50.998
0.23,16,-0.259,-0.08,22.003,29.732
0.251,17,-0.252,-0.173,24.854,23.735
0.223,18,-0.241,-0.093,24.763,23.352
0.171,19,-0.096,-0.02,24.884,23.203
0.16,20,0.096,-0.081,24.884,23.779
0.143,21,-0.005,-0.093,24.824,24.278
0.146,22,-0.001,-0.093,24.915,24.842
0.144,23,0.001,-0.095,24.854,24.854
0.145,24,0.001,-0.095,24.824,24.872
0.145,25,-0.005,-0.095,24.703,24.86
0.142,26,0.005,-0.095,24.884,24.824
