x-axis,time,z-axis,y-axis,height,average height
0.122,0,-0.141,-0.032,34.555,23.888
0.17,1,-0.417,-0.023,181.623,25.964
0.104,2,-0.003,-0.036,163.665,57.549
0.095,3,2.278,0.018,113.837,85.515
0.005,4,-0.688,-0.116,114.414,103.509
-0.054,5,-0.987,-0.188,48.564,121.619
-0.161,6,0.411,-0.202,55.914,124.421
-0.062,7,0.99,-0.179,46.548,99.279
0.067,8,-0.492,-0.168,20.403,75.856
0.205,9,-0.285,-0.007,13.735,57.169
0.273,10,0.425,0.098,19.475,37.033
0.326,11,-0.768,0.042,19.513,31.215
0.221,12,-0.258,0.102,19.532,23.935
0.089,13,-0.035,0.059,19.57,18.532
0.032,14,-0.022,0.052,19.647,18.365
0.013,15,-0.048,0.041,19.438,19.547
0.013,16,0.065,0.123,19.513,19.54
0.076,17,-0.002,0.076,19.551,19.54
0.078,18,0.002,0.075,19.513,19.544
