x-axis,time,z-axis,y-axis,height,average height
0.08,0,0.047,0.076,643.555,19.532
0.033,1,0.318,0.119,112.138,144.314
-0.067,2,-0.153,-0.04,159.15,162.854
-0.062,3,-0.102,-0.127,341.186,190.781
-0.188,4,-0.777,-0.258,366.957,255.108
-0.131,5,0.134,-0.347,168.435,324.597
-0.08,6,-0.224,-0.305,545.698,229.573
0.013,7,-0.485,-0.151,956.525,316.285
-0.009,8,-0.601,-0.162,890.646,475.76
0.104,9,0.226,-0.003,993.123,585.652
0.084,10,-0.225,0.125,1225.782,710.885
0.061,11,0.789,0.016,173.481,922.355
0.163,12,-0.002,0.024,860.898,847.911
0.155,13,1.025,0.009,259.926,828.786
0.316,14,0.578,0.013,79.077,702.642
0.311,15,-0.325,-0.202,50.279,519.833
0.314,16,-0.073,-0.25,48.454,284.732
0.192,17,0.312,-0.243,36.549,259.727
0.146,18,-0.416,-0.145,24.824,94.857
-0.048,19,0.17,-0.136,24.466,47.837
-0.087,20,0.255,0.09,24.466,36.915
-0.07,21,0.146,0.195,24.437,31.752
-0.052,22,-0.17,0.17,23.534,26.949
0.015,23,-0.125,0.197,24.408,24.346
0.055,24,-0.16,0.163,24.321,24.262
0.059,25,-0.11,0.12,24.408,24.233
0.056,26,-0.06,0.095,24.437,24.221
0.061,27,-0.008,0.116,22.269,24.221
0.062,28,0.005,0.113,24.437,23.969
0.066,29,0.003,0.112,23.949,23.974
0.066,30,-0.002,0.111,23.949,23.9
0.066,31,-0.001,0.112,23.837,23.808
