0.089,0.000,-0.004,0.014,24.321,22.363
0.094,1.000,0.001,0.015,24.350,22.443
0.095,2.000,0.001,0.017,19.666,23.152
0.096,3.000,0.002,0.018,24.408,22.796
0.096,4.000,0.008,0.016,24.379,23.159
0.095,5.000,0.002,0.016,19.400,23.425
