x-axis,time,z-axis,y-axis,height,average height
0.142,0,-0.223,-0.095,61.312,24.836
0.188,1,0.002,-0.027,268.719,32.115
0.134,2,-0.142,0.103,298.916,80.888
0.148,3,0.096,0.179,196.966,135.707
0.12,4,-0.62,0.33,251.674,170.159
0.067,5,0.429,0.338,234.26,215.517
-0.097,6,-0.205,0.276,96.667,250.107
-0.091,7,0.091,0.201,198.639,215.697
-0.083,8,0.432,0.087,262.795,195.641
-0.062,9,0.007,-0.153,268.719,208.807
0.024,10,-0.509,-0.055,501.749,212.216
0.055,11,0.066,-0.037,806.826,265.714
0.025,12,0.523,-0.188,1075.08,407.746
0.073,13,1.828,-0.12,73.52,583.034
0.088,14,-0.694,-0.07,166.017,545.179
-0.021,15,-0.369,-0.173,68.03,524.638
0.096,16,-0.487,-0.206,57.866,437.894
0.126,17,-0.238,-0.059,32.761,288.102
-0.001,18,-0.452,-0.01,26.668,79.639
-0.049,19,0.216,0.048,26.702,70.268
0.02,20,0.306,0.008,26.842,42.405
0.013,21,0.016,0.062,20.654,34.168
0.062,22,-0.007,0.021,26.157,26.726
0.121,23,0.014,-0.05,26.912,25.405
0.17,24,-0.043,-0.06,26.772,25.454
0.184,25,-0.038,-0.014,26.842,25.468
0.167,26,0.006,-0.049,26.877,25.468
0.171,27,-0.005,-0.049,20.058,26.712
