x-axis,time,z-axis,y-axis,height,average height
0.066,0,0.632,0.113,1121.157,23.688
0.123,1,-0.312,-0.028,1171.213,243.466
0.034,2,-0.434,-0.079,1171.213,472.821
-0.034,3,1.069,-0.07,236.604,702.274
-0.138,4,-0.227,-0.171,1285.493,744.805
-0.189,5,-0.827,-0.197,1171.213,997.136
-0.191,6,-0.017,-0.068,1121.157,1007.147
-0.106,7,-0.343,0.046,138.92,997.136
-0.039,8,-0.779,0.096,47.167,790.677
0.008,9,-0.022,0.154,187.474,752.79
0.014,10,0.215,0.117,83.255,533.186
-0.029,11,0.135,0.217,64.406,315.594
-0.08,12,-0.038,0.155,49.35,104.244
-0.111,13,0.138,0.033,36.296,86.331
-0.062,14,0.49,0.115,22.923,84.156
-0.039,15,0.286,0.144,22.975,51.246
-0.003,16,-0.223,-0.04,22.949,39.19
0.073,17,0.045,-0.025,22.592,30.899
0.098,18,0.063,0.041,22.516,25.547
0.112,19,0.003,0.003,22.592,22.791
0.137,20,0.059,0.035,22.592,22.725
0.095,21,0.072,0.129,22.592,22.648
0.074,22,0.013,0.111,22.592,22.577
0.084,23,-0.002,0.107,17.379,22.577
0.084,24,0,0.105,22.567,21.549
0.083,25,0.003,0.104,22.592,21.544
0.083,26,0,0.103,22.592,21.544
0.085,27,-0.009,0.103,22.617,21.544
