x-axis,time,z-axis,y-axis,height,average height
0.042,0,-0.449,0.004,259.926,22.398
0.002,1,0.079,0.021,88.585,69.884
0.07,2,-0.177,0.083,39.806,83.152
0.11,3,-0.012,0.113,20.118,86.64
0.109,4,0.427,0.108,20.591,86.19
0.097,5,0.437,0.084,20.445,85.805
0.132,6,-0.04,-0.037,20.507,37.909
0.07,7,-0.031,-0.097,18.996,24.293
0.037,8,-0.076,-0.125,20.466,20.131
0.045,9,-0.111,-0.117,20.486,20.201
0.062,10,-0.064,-0.091,20.486,20.18
0.074,11,0.003,0.011,20.362,20.188
0.075,12,0.009,0.013,20.362,20.159
0.074,13,0.002,0.013,20.466,20.432
0.075,14,0.002,0.013,20.362,20.432
0.076,15,0.002,0.013,20.424,20.408
0.075,16,-0.004,0.015,20.424,20.395
