x-axis,time,z-axis,y-axis,height,average height
0.054,0,-0.428,-0.003,50.517,21.794
0.077,1,-0.084,0.089,21.673,27.478
0.092,2,0.473,0.148,20.486,27.402
0.117,3,0.118,0.142,22.027,27.065
0.173,4,0.084,0.175,21.955,27.361
0.179,5,0.055,0.185,22.027,27.332
0.155,6,-0.045,0.095,21.65,21.634
0.141,7,-0.106,0.04,21.814,21.629
0.114,8,-0.023,0.048,21.979,21.895
0.055,9,-0.012,0.016,22.075,21.885
0.048,10,-0.016,0.009,22.245,21.909
0.048,11,-0.005,0.008,22.075,21.953
0.046,12,0.002,0.006,22.099,22.038
0.047,13,-0.003,0.005,20.445,22.095
0.047,14,0.002,0.005,22.099,21.788
