x-axis,time,z-axis,y-axis,height,average height
0.083,0,-0.061,-0.005,231.961,23.307
0.05,1,-0.33,-0.024,112.138,65.063
-0.041,2,0.154,0.071,57.711,82.811
-0.116,3,0.023,0.058,21.814,89.705
-0.133,4,-0.171,0.194,21.79,89.399
-0.152,5,0.198,0.207,22.099,89.083
-0.133,6,0.21,0.136,22.099,47.11
-0.034,7,0.033,0.044,22.051,29.103
0.037,8,0.015,0.06,22.123,21.971
0.05,9,0.01,-0.076,20.486,22.033
0.064,10,-0.032,-0.088,22.392,21.772
0.072,11,-0.035,0.003,21.535,21.83
0.059,12,-0.004,0.001,22.099,21.718
0.056,13,0.001,-0.002,22.051,21.727
0.054,14,0,-0.002,22.172,21.713
0.053,15,-0.004,-0.002,20.549,22.05
0.053,16,-0.002,-0.002,22.099,21.681
