x-axis,time,z-axis,y-axis,height,average height
0.062,0,-0.384,0.002,366.957,22.182
0.145,1,-0.562,0.068,102.894,91.144
0.091,2,0.556,-0.008,522.832,107.298
-0.037,3,0.92,-0.065,72.546,207.44
-0.039,4,0.613,-0.229,302.68,217.485
-0.003,5,0.062,-0.065,1351.1,273.582
-0.064,6,-0.788,0.063,161.377,470.41
-0.027,7,-0.758,0.063,148.852,482.107
0.085,8,0.097,-0.01,310.491,407.311
0.127,9,-0.123,0.306,782.185,454.9
0.15,10,-0.506,0.196,195.32,550.801
0.047,11,0.144,-0.01,55.339,319.645
0.095,12,-0.015,0.151,40.887,298.437
0.03,13,0.331,0.298,20.118,276.844
0.03,14,0.085,0.082,22.846,218.77
-0.023,15,0.493,0.064,23.238,66.902
0.102,16,0.022,0.207,22.82,32.486
0.071,17,-0.011,0.127,22.923,25.982
0.152,18,-0.053,0.113,22.949,22.389
0.115,19,-0.038,0.181,22.897,22.955
0.11,20,-0.07,0.151,22.949,22.966
0.07,21,-0.002,0.023,20.199,22.908
0.071,22,-0.009,0.023,22.949,22.384
0.072,23,0.005,0.023,20.28,22.389
0.07,24,0.002,0.023,22.975,21.855
0.071,25,-0.002,0.021,20.179,21.871
0.07,26,-0.006,0.022,22.693,21.316
