0.064,0.000,0.480,-0.010,1225.782,20.910
-0.016,1.000,0.883,-0.006,1121.157,261.805
0.093,2.000,0.663,0.165,1351.100,481.793
0.074,3.000,-0.895,0.392,184.504,747.843
0.113,4.000,-0.898,0.528,431.677,780.712
0.061,5.000,-0.095,0.590,121.160,862.844
0.130,6.000,-0.400,0.470,58.493,641.919
0.011,7.000,-0.088,0.287,23.398,429.387
0.042,8.000,0.027,0.063,23.452,163.846
-0.043,9.000,-0.152,-0.081,23.425,131.636
0.001,10.000,0.137,-0.089,23.588,49.986
0.024,11.000,0.107,0.036,23.318,30.471
0.034,12.000,0.072,0.049,23.345,23.436
0.023,13.000,0.079,0.047,23.452,23.426
0.070,14.000,0.049,0.057,23.452,23.426
0.079,15.000,0.005,0.005,23.291,23.431
0.070,16.000,0.002,-0.002,23.398,23.372
0.071,17.000,0.005,-0.002,23.398,23.388
0.072,18.000,-0.007,0.000,23.371,23.398
0.072,19.000,0.009,0.000,23.425,23.382
