x-axis,time,z-axis,y-axis,height,average height
0.024,0,-0.025,0.017,55.197,22.24
0.034,1,0.363,-0.015,23.398,28.811
0.013,2,-0.268,0.028,21.535,29.056
0.034,3,-0.505,-0.004,23.837,28.919
0.03,4,-0.179,0.043,23.865,29.242
0.073,5,0.113,0.001,23.893,29.566
0.07,6,0.113,0.032,23.398,23.306
0.1,7,0.177,-0.011,23.865,23.306
0.087,8,0.135,0.022,23.781,23.772
0.096,9,0.062,-0.023,23.371,23.76
0.061,10,-0.001,0.02,23.865,23.662
0.061,11,0.003,0.021,24.005,23.656
0.06,12,-0.001,0.02,24.091,23.778
0.06,13,0.006,0.02,21.743,23.823
0.059,14,-0.001,0.02,23.781,23.415
