x-axis,time,z-axis,y-axis,height,average height
-0.001,0,-0.345,0.013,410.062,22.095
0.062,1,-0.228,-0.133,205.616,99.687
0.046,2,-0.212,0.027,172.192,136.424
0.159,3,1.609,0.139,366.957,166.433
0.188,4,-0.045,0.355,482.252,235.415
0.174,5,0.514,0.282,167.218,327.416
0.141,6,-0.149,0.291,302.68,278.847
0.318,7,-0.306,-0.066,205.616,298.26
0.255,8,0.007,-0.155,166.017,304.945
0.209,9,0.323,-0.341,77.682,264.757
0.199,10,-0.024,-0.231,33.392,183.843
0.211,11,-0.308,0.001,22.099,157.077
0.08,12,-0.115,0.223,23.371,100.961
-0.07,13,-0.466,0.13,23.291,64.512
-0.088,14,-0.031,0.083,23.452,35.967
-0.032,15,-0.13,0.045,23.318,25.121
-0.058,16,-0.026,-0.055,23.318,23.106
-0.072,17,-0.041,-0.085,23.479,23.35
0.048,18,-0.001,-0.02,23.345,23.372
0.101,19,-0.038,-0.007,21.932,23.382
0.084,20,0.004,-0.009,21.79,23.078
0.084,21,-0.008,-0.008,23.185,22.773
0.084,22,-0.012,-0.008,23.398,22.746
0.083,23,0.006,-0.007,23.238,22.73
0.083,24,0.006,-0.006,23.345,22.709
0.082,25,0.001,-0.005,23.371,22.991
