x-axis,time,z-axis,y-axis,height,average height
0.041,0,-0.023,-0.03,68.889,22.103
0.056,1,0.02,0.001,39.286,31.387
0.015,2,0.202,-0.049,22.442,34.731
0.09,3,-0.292,-0.049,22.82,35.11
0.051,4,0.23,-0.02,22.541,35.181
0.095,5,-0.023,-0.039,22.567,35.196
0.094,6,-0.041,-0.066,22.392,25.931
0.142,7,-0.037,-0.013,22.417,22.552
0.075,8,0.015,-0.011,22.392,22.547
0.123,9,-0.049,-0.035,22.367,22.462
0.087,10,-0.001,-0.012,22.491,22.427
0.08,11,-0.003,-0.011,22.442,22.412
0.08,12,-0.003,-0.01,22.516,22.422
0.081,13,-0.003,-0.01,20.383,22.442
0.081,14,-0.001,-0.01,22.592,22.04
0.08,15,-0.001,-0.011,20.321,22.085
