x-axis,time,z-axis,y-axis,height,average height
0.02,0,0.737,0.038,162.513,19.508
-0.031,1,-0.47,-0.002,77.957,48.289
-0.073,2,-0.066,0.147,361.507,59.845
-0.131,3,-1.062,0.279,72.787,128.459
-0.074,4,-0.578,0.319,130.943,138.997
-0.021,5,0.029,0.45,38.145,161.142
0.102,6,0.212,0.488,28.756,136.268
0.217,7,0.345,0.445,21.444,126.428
0.247,8,0.847,0.313,20.803,58.415
0.209,9,0.155,0.277,21.512,48.018
0.112,10,0.042,0.177,21.421,26.132
0.041,11,-0.041,0.176,21.308,22.787
-0.028,12,-0.079,0.064,21.466,21.298
0.004,13,-0.087,0.057,20.058,21.302
-0.011,14,-0.004,0.048,21.398,21.153
0.036,15,-0.007,0.011,21.421,21.13
0.038,16,0.003,0.009,21.512,21.13
0.039,17,0.009,0.009,21.376,21.171
0.04,18,-0.001,0.009,21.376,21.153
0.041,19,0.003,0.01,21.398,21.417
