x-axis,time,z-axis,y-axis,height,average height
0.07,0,-0.384,0.022,85.84,21.815
0.055,1,-0.007,0.009,660.364,34.393
-0.006,2,0.124,0.017,833.014,162.41
-0.003,3,-0.112,0.119,188.994,324.418
0.045,4,-0.377,0.196,166.017,358.181
0.029,5,-0.558,0.184,77.408,386.846
0.105,6,0.816,0.205,545.698,385.159
0.223,7,0.037,0.246,121.16,362.226
0.235,8,-0.078,0.241,42.027,219.855
0.175,9,0.525,0.26,21.331,190.462
0.182,10,0.662,0.245,21.535,161.525
0.161,11,-0.293,0.189,21.444,150.35
0.098,12,-0.114,0.118,21.604,45.499
0.073,13,-0.082,0.019,21.042,25.588
0.087,14,-0.126,-0.081,21.042,21.391
0.096,15,-0.072,-0.057,21.086,21.333
0.056,16,0.029,-0.012,21.444,21.243
0.065,17,0.011,0.008,18.925,21.243
0.075,18,-0.001,0.009,21.376,20.707
0.075,19,-0.006,0.01,21.376,20.774
0.076,20,-0.004,0.013,21.308,20.841
0.077,21,-0.002,0.013,21.444,20.886
