x-axis,time,z-axis,y-axis,height,average height
0.027,0,-0.737,0.01,86.511,22.496
0.089,1,0.165,0.056,50.877,35.29
0.057,2,0.005,0.184,185.977,40.972
-0.027,3,0.934,0.217,19.743,73.67
0.023,4,-0.582,0.237,1285.493,73.115
0.049,5,-0.508,0.314,174.789,325.72
-0.021,6,0.361,0.379,1285.493,343.376
0.099,7,0.656,0.108,1351.1,590.299
0.177,8,-0.214,-0.023,1285.493,823.324
0.073,9,0.089,0.026,410.062,1076.474
0.125,10,-0.077,-0.017,1593.384,901.387
0.166,11,0.059,-0.08,1225.782,1185.107
0.019,12,-0.22,0.142,225.32,1173.164
-0.091,13,-0.452,0.273,284.723,948.008
-0.006,14,-0.621,0.341,153.834,747.854
-0.043,15,2.461,0.399,31.662,696.609
-0.059,16,-0.243,0.15,47.91,384.264
-0.002,17,-0.366,0.128,23.398,148.69
0.051,18,-0.28,0.042,22.592,108.306
-0.034,19,-0.298,-0.126,22.172,55.879
-0.093,20,-0.409,-0.182,22.642,29.547
-0.11,21,0.075,0.005,22.22,27.743
-0.092,22,0.08,-0.066,22.147,22.605
-0.013,23,0.044,-0.025,22.172,22.355
0.058,24,0.025,-0.004,22.147,22.271
0.094,25,0.012,-0.053,13.669,22.266
0.113,26,0.004,-0.051,21.767,20.471
0.113,27,-0.002,-0.048,21.743,20.38
0.114,28,-0.002,-0.047,21.79,20.3
