x-axis,time,z-axis,y-axis,height,average height
0.098,0,-0.063,0.052,39.286,23.372
0.098,1,-0.997,-0.005,758.959,26.555
0.123,2,1.333,0.005,63.839,173.688
0.187,3,0.031,0.031,133.241,181.792
0.245,4,-0.07,-0.049,192.107,203.755
0.17,5,0.355,0.077,122.47,237.486
0.102,6,-0.344,0.373,1171.213,254.123
0.104,7,0.384,0.38,44.222,336.574
-0.037,8,-0.307,0.266,1075.08,332.651
0.028,9,-0.438,0.226,67.191,521.018
0.062,10,-0.12,0.205,133.241,496.035
0.163,11,-0.147,-0.062,84.853,498.189
0.029,12,-0.25,-0.101,54.223,280.917
0.138,13,-0.296,0.03,31.375,282.917
-0.005,14,0.061,0.166,26.258,74.177
0.002,15,0.338,0.061,26.224,65.99
-0.052,16,0.005,0.191,26.393,44.586
0.08,17,0.241,0.213,25.698,32.895
0.044,18,0.178,0.169,25.505,27.189
0.061,19,0.055,0.148,25.698,26.016
0.091,20,0.014,0.142,25.698,25.904
0.107,21,0.041,0.035,19.251,25.798
0.079,22,-0.006,0.029,25.601,24.37
0.08,23,-0.006,0.027,25.698,24.351
0.078,24,0.002,0.027,25.698,24.389
