x-axis,time,z-axis,y-axis,height,average height
-0.012,0,-0.279,0.05,146.01,19.453
0.039,1,-0.723,-0.013,97.939,44.424
-0.027,2,0.1,-0.048,20.179,61.775
-0.072,3,0.401,-0.041,35.137,61.495
-0.102,4,-0.047,-0.036,24.205,64.178
-0.126,5,0.487,-0.124,24.733,64.694
-0.141,6,-0.144,0.029,24.496,40.439
-0.118,7,0.055,0.054,23.865,25.75
-0.07,8,0.02,0.05,24.292,26.487
-0.037,9,0.055,0.045,23.643,24.318
-0.01,10,0.002,0.134,24.614,24.206
-0.044,11,0.055,0.046,24.205,24.182
0.001,12,-0.005,0.059,24.062,24.124
