x-axis,time,z-axis,y-axis,height,average height
0.095,0,0.608,0.02,660.364,19.341
0.043,1,-0.511,-0.073,33.554,147.538
-0.031,2,-0.116,-0.177,70.444,150.402
-0.037,3,0.462,-0.27,63.28,160.569
-0.016,4,0.523,-0.338,58.811,169.386
-0.003,5,0.041,-0.435,32.353,177.291
0.006,6,-0.721,-0.348,21.955,51.689
0.056,7,-0.077,-0.27,21.908,49.369
0.055,8,-0.316,-0.176,21.955,39.662
0.016,9,-0.066,-0.116,21.604,31.397
-0.019,10,0.057,-0.01,21.79,23.955
0.004,11,0.111,0.001,21.535,21.843
0.008,12,-0.011,0.033,20.633,21.758
-0.008,13,0.021,0.037,21.152,21.504
-0.01,14,-0.002,0.052,11.184,21.343
-0.009,15,0.008,0.048,21.581,19.259
-0.01,16,0,0.048,21.72,19.217
-0.012,17,0.001,0.049,21.627,19.254
