x-axis,time,z-axis,y-axis,height,average height
0.073,0,-0.334,-0.045,25.991,25.653
0.158,1,-0.552,-0.128,45.747,25.731
0.084,2,0.166,-0.095,522.832,29.722
0.132,3,0.873,-0.095,121.16,129.116
0.16,4,-0.373,-0.168,24.379,148.247
0.206,5,0.797,-0.16,66.779,148.022
0.108,6,-0.08,-0.055,40.808,156.179
0.294,7,-0.217,-0.129,25.73,155.192
0.334,8,-0.033,-0.117,25.442,55.771
0.338,9,0.268,-0.009,25.827,36.627
0.323,10,-0.207,0.049,25.006,36.917
0.322,11,-0.057,0.038,25.191,28.563
0.199,12,-0.062,0.09,25.16,25.439
0.095,13,-0.092,0.087,25.474,25.325
0.051,14,-0.063,0.063,25.762,25.332
0.005,15,0.003,0.006,25.285,25.319
0.006,16,-0.008,0.005,25.601,25.374
0.005,17,0.006,0.006,25.222,25.456
0.005,18,-0.005,0.005,25.129,25.469
0.005,19,-0.001,0.003,25.191,25.4
