x-axis,time,z-axis,y-axis,height,average height
0.037,0,0.473,0,78.513,23.666
0.023,1,-0.215,0.07,58.811,34.607
0.035,2,0.534,0.284,322.965,41.652
-0.008,3,-0.83,0.191,1225.782,101.499
-0.03,4,-0.216,0.263,35.315,341.976
-0.095,5,0.334,0.178,37.264,344.277
-0.112,6,-0.387,0.29,306.537,336.028
-0.097,7,-0.165,-0.005,119.877,385.573
-0.043,8,0.118,0.047,77.408,344.955
-0.09,9,-0.927,-0.009,782.185,115.28
-0.036,10,0.121,0.155,44.688,264.654
0.033,11,-0.16,-0.151,54.086,266.139
0.105,12,0.588,0.021,81.715,215.649
0.13,13,1.083,-0.141,62.551,208.016
0.17,14,0.631,-0.04,28.478,205.045
0.153,15,-0.263,-0.151,43.765,54.303
0.143,16,-0.173,-0.127,14.967,54.119
0.08,17,-0.584,-0.308,21.174,46.295
0.02,18,0.155,-0.045,20.528,34.187
0.091,19,-0.462,-0.202,19.84,25.782
0.065,20,-0.022,-0.177,20.158,24.055
0.026,21,0.114,-0.083,19.608,19.334
-0.028,22,0.098,-0.002,19.178,20.262
-0.027,23,0.023,-0.074,19.551,19.863
-0.09,24,0.098,-0.045,19.513,19.667
-0.055,25,0.021,-0.048,19.233,19.602
-0.064,26,-0.002,-0.055,11.062,19.417
-0.067,27,0.009,-0.055,19.288,17.707
-0.066,28,0.008,-0.055,10.59,17.73
-0.067,29,-0.003,-0.054,18.942,15.937
-0.068,30,0.005,-0.055,10.797,15.823
-0.068,31,-0.001,-0.055,18.925,14.136
-0.068,32,-0.005,-0.055,19.05,15.708
-0.069,33,0,-0.055,19.178,15.661
-0.068,34,-0.003,-0.056,18.907,17.378
-0.068,35,-0.003,-0.055,18.557,17.371
-0.07,36,-0.002,-0.055,18.678,18.923
-0.07,37,-0.005,-0.055,18.73,18.874
-0.069,38,0,-0.056,18.522,18.81
-0.07,39,0.001,-0.056,18.202,18.679
-0.07,40,0.005,-0.055,19.475,18.538
-0.069,41,0.004,-0.055,19.233,18.722
