x-axis,time,z-axis,y-axis,height,average height
0.005,0,-0.356,0.002,33.446,25.286
-0.055,1,0.286,-0.084,33.881,26.918
0.061,2,-0.527,-0.142,96.667,28.574
0.109,3,-0.602,-0.033,327.342,42.863
0.109,4,1.186,0.083,351.062,103.305
0.139,5,0.065,0.202,134.817,168.48
0.161,6,-0.412,0.137,37.464,188.754
0.005,7,0.613,0.15,119.877,189.47
0.021,8,0.736,0.198,21.932,194.112
0.016,9,0.062,-0.059,22.872,133.031
0.021,10,-0.428,-0.172,22.693,67.392
0.066,11,-0.32,0.031,23.726,44.967
0.078,12,-0.223,0.095,22.567,42.22
0.027,13,-0.167,-0.06,22.667,22.758
0.044,14,-0.019,0.08,23.132,22.905
0.02,15,0.059,0.073,22.769,22.957
0.022,16,0.019,0.021,22.846,22.972
0.062,17,0.005,0.001,22.367,22.796
0.06,18,0.001,-0.003,22.693,22.756
0.059,19,0.001,-0.003,23.345,22.761
