x-axis,time,z-axis,y-axis,height,average height
0,0,-0.276,0.057,40.495,24.163
0.034,1,-0.252,-0.008,25.665,27.404
0.032,2,0.529,-0.009,26.191,27.808
0.002,3,0.044,-0.062,25.73,28.124
0.051,4,0.019,-0.078,25.73,28.429
0.056,5,0.045,-0.079,25.73,28.762
0.027,6,-0.012,-0.012,25.762,25.809
0.032,7,-0.076,-0.01,25.73,25.828
0.066,8,0.005,0.043,25.73,25.736
0.021,9,0.001,0.059,25.73,25.736
0.019,10,-0.007,0.059,25.191,25.736
0.018,11,0.002,0.058,14.569,25.629
0.018,12,0.002,0.057,24.763,23.39
0.018,13,0.002,0.057,25.098,23.197
