x-axis,time,z-axis,y-axis,height,average height
0.017,0,-0.334,0.056,643.555,23.07
-0.057,1,0.104,0.013,424.232,146.635
-0.188,2,0.752,-0.08,121.16,226.443
-0.162,3,0.008,-0.197,102.894,247.762
-0.18,4,-0.337,-0.166,49.579,263.388
-0.188,5,0.922,-0.101,25.253,268.284
-0.068,6,-0.226,-0.223,23.781,144.624
0.065,7,-0.02,-0.162,23.781,64.534
0.094,8,-0.176,-0.074,23.865,45.058
0.073,9,-0.23,-0.105,23.425,29.252
0.098,10,-0.287,-0.169,23.398,24.021
0.066,11,-0.1,-0.005,23.185,23.65
0.08,12,-0.073,0.027,23.507,23.531
0.041,13,-0.025,0.055,23.371,23.476
0.095,14,-0.005,0.055,23.371,23.377
0.096,15,-0.002,0.052,23.291,23.367
0.098,16,0.007,0.052,23.318,23.345
0.098,17,0.005,0.052,23.425,23.372
0.099,18,0.005,0.051,23.452,23.355
