x-axis,time,z-axis,y-axis,height,average height
0.059,0,-0.453,-0.002,322.965,22.804
0.078,1,0.273,-0.106,193.701,82.843
0.133,2,0.279,-0.241,1225.782,117.014
0.108,3,-0.831,-0.064,806.826,357.697
0.127,4,-0.054,0.033,346.056,514.524
0.098,5,0.039,0.029,29.412,579.066
-0.024,6,0.317,0.11,46.244,520.355
-0.134,7,0.406,0.309,24.321,490.864
-0.141,8,0.027,0.163,23.753,250.572
-0.143,9,0.189,0.084,23.781,93.957
-0.118,10,0.015,0.098,23.865,29.502
-0.023,11,-0.064,0.128,24.321,28.393
0.029,12,-0.055,0.067,23.671,24.008
0.056,13,-0.014,0.037,23.809,23.878
0.035,14,-0.052,0.021,23.588,23.889
0.033,15,-0.017,0.011,23.726,23.851
0.04,16,0.005,0.004,23.398,23.823
0.037,17,0,0.002,23.809,23.638
