x-axis,time,z-axis,y-axis,height,average height
0.119,0,0.132,-0.013,170.922,22.157
0.034,1,-0.738,0.084,68.889,51.907
0.069,2,0.365,0.117,35.315,61.256
0.085,3,-0.123,0.087,21.421,63.899
0.042,4,-0.084,0.18,21.353,63.744
0.028,5,-0.297,0.227,21.152,63.58
0.076,6,0.278,0.077,21.064,33.626
0.039,7,0.104,0.052,21.174,24.061
0.018,8,0.155,0.094,20.654,21.233
0.056,9,0.126,0.011,20.633,21.079
0.065,10,0.088,-0.023,20.76,20.935
0.098,11,0.011,0.042,21.196,20.857
0.095,12,0.009,0.048,20.976,20.884
0.095,13,0.002,0.049,20.76,20.844
0.096,14,-0.001,0.051,20.612,20.865
0.096,15,-0.005,0.052,20.933,20.861
0.096,16,0.002,0.053,21.086,20.896
