x-axis,time,z-axis,y-axis,height,average height
0.095,0,0.585,0.052,152.812,20.873
0.055,1,-0.75,0.034,268.719,47.241
0.047,2,-0.768,0.131,19.196,96.832
-0.033,3,-0.671,0.047,105.807,96.549
-0.113,4,0.511,-0.011,51.613,113.524
-0.055,5,0.613,-0.041,27.27,119.63
-0.002,6,1.065,-0.063,16.06,94.521
0.038,7,-0.013,-0.163,26.157,43.989
0.075,8,-0.197,-0.104,26.091,45.381
0.145,9,-0.195,-0.116,25.698,29.438
0.083,10,-0.163,-0.105,18.252,24.255
0.066,11,-0.107,-0.084,15.232,22.451
0.03,12,0.046,-0.102,14.978,22.286
0.067,13,0.028,-0.098,25.601,20.05
0.073,14,0.005,-0.048,25.795,19.952
0.072,15,-0.003,-0.048,25.86,19.972
0.073,16,0.002,-0.046,25.505,21.493
0.071,17,0.008,-0.045,25.505,23.548
