x-axis,time,z-axis,y-axis,height,average height
0.114,0,0.357,-0.048,1285.493,20.223
0.16,1,-0.007,0.01,213.083,272.892
0.087,2,0.605,-0.135,16.047,312.775
0.068,3,0.136,-0.219,46.856,311.631
0.108,4,-0.1,-0.255,44.782,316.654
0.027,5,0.505,-0.184,43.496,321.252
-0.097,6,-0.298,-0.311,1285.493,72.853
-0.109,7,1.087,-0.194,185.977,287.335
-0.193,8,-0.592,-0.022,34.67,321.321
-0.189,9,-1.032,-0.099,15.531,318.884
-0.194,10,-0.872,-0.196,167.218,313.034
-0.21,11,0.553,-0.104,176.116,337.778
-0.13,12,0.674,-0.15,806.826,115.902
-0.033,13,-0.226,-0.297,23.452,240.072
-0.102,14,-0.197,-0.241,47.377,237.828
-0.061,15,-0.63,-0.071,36.046,244.198
0.002,16,-0.395,-0.025,41.613,217.963
-0.029,17,0.485,0.214,93.819,191.063
-0.066,18,-0.084,0.267,61.139,48.461
-0.044,19,0.262,0.371,42.62,55.999
0,20,-0.156,0.244,16.021,55.047
0.025,21,0.002,0.17,16.893,51.042
0.048,22,-0.241,0.038,16.864,46.098
0.084,23,0.228,0.027,16.611,30.707
0.145,24,0.085,-0.037,16.284,21.802
0.149,25,-0.01,-0.083,13.271,16.534
0.15,26,-0.05,-0.105,15.741,15.984
0.159,27,-0.042,-0.165,15.667,15.754
0.165,28,-0.073,-0.176,13.244,15.515
0.104,29,-0.031,-0.187,15.483,14.841
0.097,30,0.006,-0.185,15.507,14.681
0.098,31,-0.001,-0.185,13.271,15.128
0.099,32,0,-0.186,15.519,14.634
0.098,33,0.008,-0.185,15.507,14.605
0.098,34,-0.002,-0.185,13.182,15.057
0.098,35,-0.003,-0.185,15.28,14.597
0.099,36,0.002,-0.186,15.495,14.552
0.098,37,-0.006,-0.185,15.531,14.996
0.098,38,-0.002,-0.185,15.519,14.999
0.098,39,0,-0.186,13.164,15.001
0.099,40,0,-0.185,15.495,14.998
0.099,41,0,-0.184,15.471,15.041
0.1,42,-0.003,-0.186,15.519,15.036
0.1,43,0.001,-0.187,15.519,15.034
0.1,44,0.005,-0.185,15.507,15.034
0.1,45,-0.004,-0.185,15.483,15.502
0.1,46,0.005,-0.185,15.507,15.5
0.098,47,-0.004,-0.183,15.483,15.507
0.099,48,0.004,-0.183,13.024,15.5
0.1,49,-0.001,-0.184,15.507,15.001
0.1,50,0.004,-0.184,15.495,15.001
0.1,51,-0.002,-0.184,12.972,15.003
0.101,52,-0.001,-0.184,15.459,14.496
0.1,53,-0.002,-0.184,15.495,14.491
0.1,54,-0.001,-0.184,12.938,14.986
0.099,55,-0.005,-0.184,15.507,14.472
0.099,56,0.001,-0.185,15.483,14.474
0.099,57,0.005,-0.184,15.339,14.976
0.1,58,0,-0.184,15.459,14.952
0.101,59,0,-0.184,15.531,14.945
0.102,60,0,-0.184,15.291,15.464
0.102,61,-0.001,-0.183,15.398,15.421
0.103,62,0.003,-0.183,15.315,15.404
0.102,63,-0.005,-0.183,15.315,15.399
0.1,64,-0.004,-0.183,15.291,15.37
0.099,65,0.005,-0.183,15.315,15.322
0.098,66,0,-0.183,12.929,15.327
0.098,67,-0.004,-0.184,15.507,14.833
0.098,68,-0.002,-0.184,15.315,14.872
0.099,69,0.002,-0.184,15.351,14.872
0.1,70,0.001,-0.184,15.303,14.883
0.101,71,0.002,-0.184,15.398,14.881
0.1,72,0.002,-0.183,15.327,15.375
0.101,73,-0.003,-0.183,15.387,15.339
0.102,74,0.001,-0.183,15.303,15.353
0.101,75,0.009,-0.183,15.363,15.344
0.101,76,-0.005,-0.183,15.28,15.356
0.102,77,0,-0.184,15.375,15.332
0.102,78,-0.004,-0.184,15.303,15.341
0.101,79,-0.004,-0.184,15.351,15.325
0.102,80,0.009,-0.184,15.315,15.334
0.101,81,0.001,-0.183,15.351,15.325
0.101,82,0.008,-0.182,15.291,15.339
0.1,83,0.002,-0.181,15.351,15.322
0.099,84,-0.007,-0.18,15.303,15.332
0.099,85,0.001,-0.18,15.315,15.322
0.093,86,-0.022,-0.198,12.156,15.322
0.08,87,-0.061,-0.122,15.339,14.683
0.072,88,0.355,-0.143,15.268,14.693
0.131,89,0.23,-0.17,15.291,14.676
0.097,90,-0.05,-0.163,15.291,14.674
0.117,91,-0.229,-0.182,15.035,14.669
0.151,92,-0.258,-0.182,15.151,15.245
0.164,93,0.507,-0.19,15.256,15.207
0.169,94,-0.516,-0.038,15.28,15.205
0.133,95,0.605,-0.045,30.01,15.203
0.062,96,0.336,-0.022,1075.08,18.146
0.067,97,-0.689,-0.015,168.435,230.155
0.035,98,-0.408,0.072,1351.1,260.812
-0.034,99,-0.127,0.077,1351.1,527.981
0.066,100,-0.559,0.224,1075.08,795.145
0.053,101,-0.185,0.442,1285.493,1004.159
-0.088,102,-0.33,0.442,1351.1,1046.242
-0.035,103,0.805,0.45,696.663,1282.774
0.039,104,-0.448,0.438,660.364,1151.887
0.023,105,0.994,0.202,1351.1,1013.74
0.21,106,-0.434,0.008,1225.782,1068.944
0.267,107,0.608,-0.148,1351.1,1057.002
0.228,108,-0.405,-0.198,678.044,1057.002
0.091,109,0.365,-0.316,134.817,1053.278
0.113,110,1.14,-0.16,48.018,948.169
0.018,111,-0.559,-0.222,24.234,687.552
0.003,112,-0.366,-0.107,17.909,447.243
-0.016,113,-0.359,-0.023,23.921,180.604
0.016,114,-0.02,-0.035,22.949,49.78
-0.05,115,-0.093,-0.062,22.897,27.406
-0.103,116,0.141,0.022,22.897,22.382
-0.061,117,0.07,0.01,22.82,22.115
-0.06,118,0.037,-0.059,22.872,23.097
-0.056,119,-0.02,-0.014,22.846,22.887
-0.056,120,0.011,-0.024,22.769,22.867
-0.059,121,0.009,-0.023,22.949,22.841
-0.06,122,-0.002,-0.023,22.567,22.851
-0.061,123,-0.006,-0.023,22.872,22.8
