x-axis,time,z-axis,y-axis,height,average height
0.07,0,0.838,0.009,1225.782,20.574
-0.037,1,0.679,0.164,860.898,261.227
-0.137,2,-0.01,0.091,95.426,430.694
-0.139,3,0.252,0.02,89.658,445.359
-0.309,4,-0.402,-0.03,164.833,458.782
-0.383,5,-0.998,0.092,75.545,487.319
-0.203,6,0.331,-0.124,46.548,257.272
-0.076,7,-0.49,-0.13,22.172,94.402
-0.08,8,-0.207,-0.036,15.507,79.751
0.13,9,-0.237,-0.055,22.147,64.921
0.224,10,0.03,-0.156,22.172,36.384
0.157,11,-0.031,-0.103,21.743,25.709
0.138,12,0.114,-0.027,12.938,20.748
0.155,13,0.056,-0.052,22.147,18.901
0.125,14,0.039,0.013,12.499,20.23
0.113,15,0.005,-0.013,22.003,18.3
0.116,16,-0.004,-0.009,20.362,18.266
0.117,17,0,-0.01,21.398,17.99
0.117,18,0.002,-0.011,14.284,19.682
0.118,19,0.002,-0.01,22.172,18.109
0.118,20,0.001,-0.009,22.147,20.044
0.119,21,0.001,-0.01,22.099,20.073
0.119,22,0.008,-0.01,22.196,20.42
0.119,23,-0.005,-0.011,22.172,20.58
