"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.775"	"0.014"	"-0.020"	"17.052"
"1.000"	"0.775"	"-0.026"	"0.011"	"17.273"
"2.000"	"0.791"	"-0.034"	"0.037"	"17.288"
"3.000"	"0.795"	"-0.023"	"0.018"	"17.037"
"4.000"	"0.775"	"-0.004"	"0.002"	"16.821"
"5.000"	"0.792"	"0.025"	"-0.040"	"16.652"
"6.000"	"0.764"	"0.017"	"-0.016"	"16.432"
"7.000"	"0.780"	"0.013"	"-0.012"	"16.244"
"8.000"	"0.775"	"-0.012"	"0.014"	"16.034"
"9.000"	"0.775"	"-0.013"	"-0.003"	"15.842"
"10.000"	"0.793"	"-0.001"	"-0.012"	"15.716"
"11.000"	"0.773"	"-0.006"	"-0.013"	"14.020"
"12.000"	"0.792"	"0.003"	"0.000"	"15.174"
"13.000"	"0.775"	"-0.002"	"-0.004"	"14.967"
"14.000"	"0.793"	"0.003"	"0.008"	"14.777"
"15.000"	"0.775"	"-0.002"	"-0.016"	"13.471"
"16.000"	"0.774"	"0.002"	"0.010"	"14.274"
"17.000"	"0.773"	"0.014"	"-0.021"	"14.120"
"18.000"	"0.791"	"0.016"	"0.011"	"14.040"
"19.000"	"0.775"	"0.010"	"-0.002"	"13.735"
"20.000"	"0.773"	"-0.005"	"0.039"	"13.593"
"21.000"	"0.776"	"-0.007"	"0.000"	"13.298"
"22.000"	"0.818"	"-0.003"	"-0.004"	"13.155"
"23.000"	"0.981"	"0.001"	"-0.033"	"12.921"
"24.000"	"1.130"	"-0.003"	"0.010"	"12.620"
"25.000"	"1.281"	"-0.021"	"0.010"	"12.029"
"26.000"	"1.409"	"-0.018"	"0.021"	"12.302"
"27.000"	"1.514"	"-0.010"	"-0.022"	"12.217"
"28.000"	"1.653"	"-0.000"	"-0.013"	"12.081"
"29.000"	"1.808"	"0.009"	"-0.024"	"11.867"
"30.000"	"1.890"	"0.010"	"0.013"	"11.781"
"31.000"	"1.973"	"0.020"	"0.005"	"11.654"
"32.000"	"1.991"	"0.012"	"0.023"	"11.647"
"33.000"	"2.091"	"0.003"	"0.015"	"11.448"
"34.000"	"2.146"	"0.002"	"0.016"	"11.448"
"35.000"	"2.115"	"-0.009"	"-0.016"	"10.672"
"36.000"	"2.179"	"-0.023"	"-0.038"	"10.701"
"37.000"	"2.183"	"-0.034"	"-0.030"	"11.461"
"38.000"	"2.142"	"-0.026"	"0.008"	"11.461"
"39.000"	"2.150"	"0.023"	"0.025"	"11.448"
"40.000"	"2.164"	"0.036"	"-0.006"	"11.441"
"41.000"	"2.168"	"0.038"	"-0.013"	"11.468"
"42.000"	"2.219"	"-0.009"	"-0.011"	"11.050"
"43.000"	"2.183"	"-0.016"	"0.036"	"11.374"
"44.000"	"2.184"	"-0.004"	"0.011"	"11.461"
