"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.760"	"-0.021"	"0.023"	"19.647"
"1.000"	"0.760"	"-0.015"	"0.016"	"19.840"
"2.000"	"0.760"	"-0.010"	"0.004"	"19.570"
"3.000"	"0.779"	"0.009"	"-0.002"	"19.627"
"4.000"	"0.780"	"0.017"	"-0.002"	"19.344"
"5.000"	"0.760"	"0.014"	"0.005"	"18.996"
"6.000"	"0.759"	"0.006"	"0.003"	"18.942"
"7.000"	"0.758"	"0.003"	"-0.010"	"18.678"
"8.000"	"0.760"	"0.004"	"-0.007"	"18.437"
"9.000"	"0.760"	"0.004"	"-0.007"	"18.522"
"10.000"	"0.758"	"-0.015"	"0.014"	"17.532"
"11.000"	"0.760"	"-0.014"	"-0.007"	"18.038"
"12.000"	"0.760"	"-0.016"	"-0.000"	"17.829"
"13.000"	"0.771"	"0.005"	"-0.006"	"17.547"
"14.000"	"0.774"	"0.008"	"0.023"	"17.303"
"15.000"	"0.760"	"0.005"	"0.016"	"17.303"
"16.000"	"0.778"	"-0.004"	"0.019"	"16.878"
"17.000"	"0.778"	"-0.018"	"-0.004"	"16.921"
"18.000"	"0.759"	"-0.007"	"-0.012"	"16.680"
"19.000"	"0.774"	"-0.001"	"-0.043"	"16.446"
"20.000"	"0.774"	"0.018"	"-0.001"	"16.257"
"21.000"	"0.762"	"0.008"	"0.017"	"16.047"
"22.000"	"0.759"	"0.007"	"0.058"	"15.704"
"23.000"	"0.759"	"-0.015"	"-0.010"	"15.447"
"24.000"	"0.778"	"-0.009"	"-0.014"	"15.327"
"25.000"	"0.763"	"-0.005"	"-0.040"	"15.139"
"26.000"	"0.763"	"0.016"	"0.025"	"14.990"
"27.000"	"0.952"	"0.027"	"0.001"	"14.766"
"28.000"	"1.134"	"0.011"	"0.009"	"14.602"
"29.000"	"1.355"	"-0.003"	"-0.043"	"14.263"
"30.000"	"1.588"	"-0.033"	"-0.026"	"14.151"
"31.000"	"1.821"	"-0.018"	"-0.010"	"13.842"
"32.000"	"2.064"	"-0.017"	"0.030"	"13.650"
"33.000"	"2.313"	"0.004"	"0.061"	"13.546"
"34.000"	"2.642"	"-0.005"	"0.045"	"13.289"
"35.000"	"2.843"	"0.007"	"0.004"	"13.032"
"36.000"	"3.112"	"0.009"	"-0.034"	"12.895"
"37.000"	"3.369"	"0.026"	"-0.048"	"12.653"
"38.000"	"3.546"	"0.010"	"-0.005"	"11.190"
"39.000"	"3.809"	"0.015"	"0.000"	"12.217"
"40.000"	"4.269"	"-0.009"	"0.026"	"11.969"
"41.000"	"4.388"	"0.006"	"-0.003"	"11.731"
"42.000"	"4.456"	"-0.014"	"-0.002"	"11.661"
"43.000"	"4.512"	"0.001"	"-0.013"	"11.675"
"44.000"	"4.622"	"-0.011"	"0.003"	"11.654"
