"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.836"	"0.015"	"-0.012"	"134.025"
"1.000"	"0.840"	"-0.003"	"-0.006"	"134.025"
"2.000"	"0.842"	"-0.017"	"-0.015"	"134.025"
"3.000"	"0.837"	"-0.020"	"-0.008"	"134.025"
"4.000"	"0.839"	"-0.006"	"-0.002"	"134.025"
"5.000"	"0.839"	"0.007"	"0.003"	"134.025"
"6.000"	"0.836"	"0.015"	"-0.006"	"134.025"
"7.000"	"0.839"	"0.008"	"-0.019"	"134.025"
"8.000"	"0.836"	"0.006"	"-0.010"	"134.025"
"9.000"	"0.837"	"-0.003"	"0.004"	"134.025"
"10.000"	"0.834"	"0.003"	"0.009"	"134.025"
"11.000"	"0.837"	"-0.003"	"-0.010"	"134.025"
"12.000"	"0.837"	"-0.011"	"-0.006"	"134.025"
"13.000"	"0.835"	"-0.015"	"0.014"	"134.817"
"14.000"	"0.836"	"0.003"	"0.024"	"134.025"
"15.000"	"0.836"	"0.013"	"0.030"	"134.025"
"16.000"	"0.836"	"0.019"	"-0.003"	"134.025"
"17.000"	"0.841"	"-0.014"	"0.007"	"134.025"
"18.000"	"0.896"	"-0.019"	"-0.016"	"134.025"
"19.000"	"0.961"	"-0.008"	"0.012"	"134.025"
"20.000"	"1.066"	"0.025"	"-0.015"	"134.025"
"21.000"	"1.151"	"0.040"	"-0.015"	"134.025"
"22.000"	"1.285"	"0.007"	"-0.016"	"134.025"
"23.000"	"1.445"	"-0.021"	"0.005"	"134.025"
"24.000"	"1.703"	"-0.038"	"0.014"	"133.241"
"25.000"	"1.985"	"-0.015"	"0.004"	"134.025"
"26.000"	"2.231"	"0.019"	"-0.006"	"134.025"
"27.000"	"2.478"	"0.021"	"0.015"	"133.241"
"28.000"	"2.729"	"0.014"	"0.019"	"133.241"
"29.000"	"3.009"	"-0.019"	"0.046"	"133.241"
"30.000"	"3.278"	"-0.016"	"0.023"	"132.467"
"31.000"	"3.533"	"-0.001"	"0.008"	"133.241"
"32.000"	"3.805"	"-0.003"	"-0.033"	"132.467"
"33.000"	"4.066"	"0.002"	"-0.039"	"132.467"
"34.000"	"4.335"	"-0.016"	"-0.036"	"131.701"
"35.000"	"4.617"	"0.014"	"0.004"	"131.701"
"36.000"	"4.766"	"0.012"	"0.022"	"131.701"
"37.000"	"4.824"	"0.000"	"0.043"	"132.467"
"38.000"	"4.875"	"-0.006"	"0.010"	"131.701"
"39.000"	"4.907"	"0.000"	"-0.018"	"132.467"
"40.000"	"4.928"	"0.026"	"-0.024"	"131.701"
