"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.845"	"-0.005"	"-0.003"	"135.619"
"1.000"	"0.845"	"-0.001"	"-0.005"	"134.817"
"2.000"	"0.846"	"-0.009"	"-0.015"	"134.817"
"3.000"	"0.842"	"-0.008"	"0.003"	"134.817"
"4.000"	"0.844"	"-0.010"	"0.011"	"134.817"
"5.000"	"0.844"	"0.005"	"0.022"	"134.817"
"6.000"	"0.848"	"0.013"	"-0.005"	"134.817"
"7.000"	"0.845"	"0.019"	"-0.019"	"134.817"
"8.000"	"0.847"	"0.015"	"-0.045"	"134.817"
"9.000"	"0.842"	"-0.001"	"-0.020"	"134.817"
"10.000"	"0.847"	"-0.015"	"-0.004"	"134.817"
"11.000"	"0.844"	"-0.023"	"0.019"	"134.817"
"12.000"	"0.845"	"-0.022"	"0.010"	"134.817"
"13.000"	"0.845"	"-0.017"	"0.017"	"134.817"
"14.000"	"0.841"	"-0.006"	"0.002"	"134.817"
"15.000"	"0.845"	"0.010"	"0.045"	"134.817"
"16.000"	"0.844"	"0.012"	"0.028"	"134.817"
"17.000"	"0.845"	"0.017"	"0.042"	"134.817"
"18.000"	"0.844"	"0.003"	"-0.042"	"134.817"
"19.000"	"0.846"	"0.010"	"-0.035"	"134.817"
"20.000"	"0.984"	"-0.015"	"-0.049"	"134.817"
"21.000"	"1.078"	"0.000"	"-0.001"	"134.817"
"22.000"	"1.199"	"0.007"	"-0.013"	"134.817"
"23.000"	"1.310"	"0.013"	"0.005"	"134.817"
"24.000"	"1.473"	"0.005"	"-0.011"	"134.025"
"25.000"	"1.687"	"-0.016"	"0.025"	"134.817"
"26.000"	"1.906"	"-0.011"	"0.009"	"134.025"
"27.000"	"2.135"	"-0.010"	"0.035"	"134.025"
"28.000"	"2.386"	"-0.007"	"-0.001"	"134.817"
"29.000"	"2.640"	"0.011"	"0.006"	"134.025"
"30.000"	"2.887"	"-0.000"	"-0.009"	"133.241"
"31.000"	"3.148"	"0.023"	"0.007"	"133.241"
"32.000"	"3.409"	"0.010"	"0.008"	"133.241"
"33.000"	"3.657"	"0.013"	"-0.007"	"133.241"
"34.000"	"3.920"	"-0.020"	"-0.017"	"133.241"
"35.000"	"4.177"	"-0.030"	"-0.020"	"132.467"
"36.000"	"4.359"	"-0.015"	"0.007"	"133.241"
"37.000"	"4.617"	"0.015"	"0.016"	"133.241"
"38.000"	"4.761"	"0.020"	"0.025"	"132.467"
"39.000"	"4.780"	"0.016"	"0.002"	"132.467"
"40.000"	"4.824"	"-0.001"	"0.000"	"132.467"
"41.000"	"4.860"	"0.003"	"-0.007"	"132.467"
"42.000"	"4.871"	"-0.016"	"0.005"	"132.467"
"43.000"	"4.879"	"-0.011"	"0.006"	"132.467"
"44.000"	"4.879"	"-0.006"	"-0.002"	"133.241"
"45.000"	"4.888"	"0.014"	"-0.001"	"132.467"
