"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.574"	"0.000"	"0.000"	"19.821"
"1.000"	"0.575"	"0.000"	"0.000"	"19.801"
"2.000"	"0.574"	"-0.001"	"0.001"	"20.078"
"3.000"	"0.573"	"0.001"	"0.001"	"20.058"
"4.000"	"0.574"	"0.003"	"0.003"	"19.532"
"5.000"	"0.573"	"0.007"	"0.007"	"19.215"
"6.000"	"0.574"	"0.008"	"0.001"	"18.942"
"7.000"	"0.573"	"0.009"	"0.018"	"17.957"
"8.000"	"0.566"	"0.005"	"0.009"	"18.907"
"9.000"	"0.577"	"0.004"	"0.039"	"18.336"
"10.000"	"0.574"	"-0.002"	"0.016"	"18.369"
"11.000"	"0.577"	"-0.006"	"0.025"	"18.369"
"12.000"	"0.577"	"-0.018"	"-0.012"	"18.071"
"13.000"	"0.574"	"-0.010"	"-0.026"	"18.202"
"14.000"	"0.574"	"-0.004"	"-0.038"	"17.750"
"15.000"	"0.574"	"0.022"	"-0.042"	"17.470"
"16.000"	"0.571"	"0.016"	"-0.013"	"17.409"
"17.000"	"0.574"	"0.011"	"-0.017"	"16.994"
"18.000"	"0.590"	"-0.005"	"-0.000"	"12.029"
"19.000"	"0.574"	"-0.013"	"-0.014"	"17.052"
"20.000"	"0.571"	"0.004"	"-0.007"	"16.779"
"21.000"	"0.579"	"-0.003"	"0.003"	"16.378"
"22.000"	"0.586"	"0.015"	"0.007"	"12.263"
"23.000"	"0.585"	"-0.028"	"0.018"	"12.248"
"24.000"	"0.574"	"-0.018"	"0.013"	"16.217"
"25.000"	"0.574"	"-0.026"	"0.010"	"16.217"
"26.000"	"0.574"	"0.021"	"0.003"	"12.836"
"27.000"	"0.574"	"0.012"	"-0.006"	"15.969"
"28.000"	"0.569"	"0.018"	"-0.000"	"15.995"
"29.000"	"0.587"	"0.002"	"0.000"	"12.827"
"30.000"	"0.591"	"0.009"	"0.004"	"11.969"
"31.000"	"0.588"	"-0.002"	"0.012"	"16.008"
"32.000"	"0.574"	"-0.007"	"0.006"	"15.829"
"33.000"	"0.574"	"-0.005"	"0.008"	"12.164"
"34.000"	"0.574"	"0.002"	"-0.013"	"15.605"
"35.000"	"0.571"	"0.011"	"-0.013"	"15.629"
"36.000"	"0.588"	"0.003"	"-0.018"	"12.435"
"37.000"	"0.590"	"-0.002"	"-0.003"	"12.467"
"38.000"	"0.582"	"-0.004"	"0.007"	"12.372"
"39.000"	"0.585"	"0.000"	"-0.000"	"12.669"
"40.000"	"0.588"	"-0.004"	"-0.010"	"15.303"
"41.000"	"0.573"	"-0.014"	"-0.016"	"15.268"
"42.000"	"0.573"	"-0.011"	"0.000"	"15.116"
"43.000"	"0.586"	"0.002"	"0.015"	"15.104"
"44.000"	"0.571"	"0.006"	"0.014"	"14.956"
"45.000"	"0.587"	"0.008"	"0.020"	"14.944"
"46.000"	"0.573"	"0.003"	"0.012"	"14.944"
"47.000"	"0.559"	"0.008"	"0.020"	"14.744"
"48.000"	"0.575"	"0.003"	"0.001"	"14.922"
"49.000"	"0.573"	"0.001"	"0.005"	"14.733"
"50.000"	"0.588"	"-0.008"	"-0.010"	"14.755"
"51.000"	"0.575"	"-0.007"	"-0.001"	"14.766"
"52.000"	"0.575"	"-0.003"	"-0.014"	"14.744"
"53.000"	"0.582"	"0.002"	"-0.007"	"14.788"
"54.000"	"0.586"	"0.003"	"-0.011"	"14.711"
"55.000"	"0.575"	"0.000"	"-0.000"	"14.744"
"56.000"	"0.573"	"-0.001"	"-0.000"	"14.744"
"57.000"	"0.586"	"-0.002"	"0.000"	"14.733"
"58.000"	"0.577"	"-0.002"	"0.000"	"14.799"
"59.000"	"0.594"	"-0.001"	"0.000"	"12.341"
"60.000"	"0.575"	"0.000"	"0.003"	"14.810"
