"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.813"	"0.015"	"0.000"	"13.015"
"1.000"	"0.813"	"0.004"	"0.007"	"12.702"
"2.000"	"0.812"	"-0.013"	"-0.017"	"11.441"
"3.000"	"0.829"	"-0.012"	"-0.010"	"10.701"
"4.000"	"0.809"	"-0.000"	"-0.015"	"11.626"
"5.000"	"0.811"	"0.007"	"0.005"	"10.950"
"6.000"	"0.813"	"0.008"	"0.007"	"8.955"
"7.000"	"0.813"	"0.017"	"0.010"	"10.252"
"8.000"	"0.814"	"0.015"	"-0.008"	"135.619"
"9.000"	"0.815"	"0.021"	"-0.023"	"136.430"
"10.000"	"0.814"	"-0.008"	"-0.022"	"136.430"
"11.000"	"0.815"	"-0.020"	"0.003"	"136.430"
"12.000"	"0.834"	"-0.047"	"0.055"	"137.250"
"13.000"	"0.813"	"-0.037"	"0.060"	"136.430"
"14.000"	"0.814"	"0.002"	"0.020"	"136.430"
"15.000"	"0.823"	"0.026"	"-0.036"	"5.935"
"16.000"	"0.813"	"0.035"	"-0.060"	"8.798"
"17.000"	"0.924"	"-0.020"	"-0.013"	"6.019"
"18.000"	"1.141"	"-0.002"	"-0.013"	"10.888"
"19.000"	"1.329"	"-0.020"	"0.026"	"136.430"
"20.000"	"1.531"	"0.033"	"-0.020"	"137.250"
"21.000"	"1.721"	"-0.007"	"0.011"	"136.430"
"22.000"	"1.938"	"0.014"	"-0.029"	"136.430"
"23.000"	"2.134"	"-0.023"	"0.021"	"14.410"
"24.000"	"2.367"	"-0.007"	"-0.006"	"15.483"
"25.000"	"2.633"	"-0.005"	"0.023"	"5.167"
"26.000"	"2.850"	"0.020"	"-0.018"	"15.070"
"27.000"	"3.152"	"0.030"	"0.007"	"4.925"
"28.000"	"3.408"	"0.022"	"-0.023"	"5.617"
"29.000"	"3.733"	"-0.001"	"0.005"	"22.693"
"30.000"	"3.939"	"-0.000"	"-0.004"	"5.116"
"31.000"	"4.178"	"-0.018"	"0.023"	"14.399"
"32.000"	"4.470"	"0.001"	"-0.007"	"5.823"
"33.000"	"4.529"	"-0.013"	"-0.006"	"522.832"
"34.000"	"4.709"	"0.003"	"-0.018"	"16.597"
"35.000"	"4.756"	"-0.013"	"0.012"	"16.021"
"36.000"	"4.756"	"-0.005"	"0.010"	"15.969"
"37.000"	"4.761"	"-0.012"	"0.007"	"13.565"
"38.000"	"4.772"	"0.007"	"-0.003"	"13.398"
"39.000"	"4.774"	"0.004"	"0.004"	"12.998"
"40.000"	"4.835"	"0.017"	"-0.002"	"11.774"
"41.000"	"4.840"	"0.008"	"-0.006"	"11.132"
"42.000"	"4.845"	"0.007"	"-0.021"	"11.753"
"43.000"	"4.852"	"-0.003"	"-0.000"	"134.817"
