"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.770"	"0.002"	"0.009"	"16.514"
"1.000"	"0.756"	"-0.003"	"0.004"	"16.666"
"2.000"	"0.754"	"0.012"	"-0.016"	"16.459"
"3.000"	"0.776"	"0.008"	"-0.023"	"16.297"
"4.000"	"0.758"	"0.008"	"-0.016"	"16.034"
"5.000"	"0.759"	"-0.011"	"0.012"	"15.855"
"6.000"	"0.756"	"-0.017"	"0.005"	"15.691"
"7.000"	"0.754"	"-0.018"	"-0.006"	"15.447"
"8.000"	"0.771"	"-0.006"	"-0.021"	"15.363"
"9.000"	"0.753"	"0.007"	"-0.009"	"15.162"
"10.000"	"0.754"	"-0.002"	"0.015"	"15.024"
"11.000"	"0.773"	"-0.011"	"0.020"	"14.777"
"12.000"	"0.769"	"-0.014"	"0.042"	"14.441"
"13.000"	"0.756"	"0.003"	"0.033"	"14.274"
"14.000"	"0.756"	"0.013"	"0.006"	"14.130"
"15.000"	"0.756"	"0.005"	"-0.024"	"13.852"
"16.000"	"0.756"	"-0.004"	"-0.048"	"13.764"
"17.000"	"0.754"	"-0.004"	"0.002"	"13.425"
"18.000"	"0.754"	"-0.002"	"0.005"	"13.316"
"19.000"	"0.768"	"0.013"	"0.021"	"13.182"
"20.000"	"0.756"	"-0.000"	"-0.033"	"12.895"
"21.000"	"0.753"	"0.017"	"-0.052"	"11.710"
"22.000"	"0.756"	"0.000"	"-0.038"	"12.515"
"23.000"	"0.764"	"0.033"	"-0.007"	"12.310"
"24.000"	"0.775"	"0.005"	"0.021"	"12.073"
"25.000"	"0.758"	"0.005"	"0.019"	"11.962"
"26.000"	"0.801"	"-0.043"	"0.020"	"11.753"
"27.000"	"0.802"	"-0.025"	"0.021"	"10.944"
"28.000"	"0.785"	"-0.015"	"0.006"	"11.598"
"29.000"	"0.782"	"0.030"	"0.013"	"11.661"
"30.000"	"0.787"	"0.023"	"0.007"	"11.640"
"31.000"	"0.787"	"0.017"	"0.007"	"11.633"
"32.000"	"0.789"	"-0.009"	"-0.007"	"11.682"
"33.000"	"0.790"	"0.000"	"-0.012"	"11.661"
"34.000"	"0.789"	"0.002"	"-0.005"	"11.661"
"35.000"	"0.786"	"0.008"	"0.001"	"11.682"
"36.000"	"0.797"	"-0.008"	"0.009"	"10.584"
"37.000"	"0.787"	"-0.009"	"0.009"	"11.619"
"38.000"	"0.787"	"-0.008"	"0.008"	"11.668"
"39.000"	"0.789"	"0.006"	"0.013"	"11.647"
"40.000"	"0.790"	"-0.000"	"0.016"	"11.647"
"41.000"	"0.808"	"-0.002"	"0.004"	"11.654"
"42.000"	"0.791"	"-0.009"	"-0.013"	"11.661"
"43.000"	"0.791"	"0.004"	"-0.023"	"11.407"
"44.000"	"0.792"	"0.007"	"-0.006"	"10.870"
