"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.760"	"0.021"	"-0.026"	"19.178"
"1.000"	"0.759"	"0.025"	"-0.033"	"17.066"
"2.000"	"0.778"	"-0.003"	"-0.005"	"19.288"
"3.000"	"0.775"	"0.006"	"-0.003"	"16.807"
"4.000"	"0.760"	"0.003"	"-0.001"	"18.730"
"5.000"	"0.774"	"-0.006"	"0.012"	"18.437"
"6.000"	"0.746"	"-0.001"	"0.018"	"18.153"
"7.000"	"0.760"	"0.008"	"0.010"	"16.271"
"8.000"	"0.765"	"0.021"	"-0.006"	"17.989"
"9.000"	"0.760"	"-0.007"	"-0.000"	"17.532"
"10.000"	"0.760"	"-0.035"	"0.030"	"17.258"
"11.000"	"0.778"	"-0.009"	"-0.001"	"15.447"
"12.000"	"0.760"	"0.003"	"0.007"	"16.893"
"13.000"	"0.778"	"0.034"	"-0.029"	"16.736"
"14.000"	"0.764"	"0.009"	"-0.012"	"16.459"
"15.000"	"0.760"	"0.012"	"-0.033"	"16.284"
"16.000"	"0.759"	"0.007"	"-0.018"	"16.060"
"17.000"	"0.759"	"-0.021"	"-0.000"	"15.387"
"18.000"	"0.758"	"-0.006"	"-0.003"	"15.483"
"19.000"	"0.760"	"-0.031"	"-0.000"	"15.315"
"20.000"	"0.775"	"0.008"	"0.012"	"14.990"
"21.000"	"0.758"	"-0.016"	"0.032"	"14.755"
"22.000"	"0.780"	"0.005"	"0.030"	"13.289"
"23.000"	"0.773"	"-0.012"	"-0.016"	"13.093"
"24.000"	"0.760"	"0.017"	"-0.030"	"14.010"
"25.000"	"0.760"	"0.011"	"-0.020"	"13.861"
"26.000"	"0.760"	"0.011"	"-0.010"	"13.546"
"27.000"	"0.767"	"-0.027"	"-0.005"	"13.271"
"28.000"	"0.778"	"-0.032"	"0.001"	"13.208"
"29.000"	"0.759"	"-0.025"	"0.023"	"12.895"
"30.000"	"0.879"	"0.022"	"0.026"	"12.645"
"31.000"	"1.139"	"0.032"	"-0.003"	"12.412"
"32.000"	"1.401"	"0.046"	"-0.008"	"12.194"
"33.000"	"1.664"	"-0.009"	"0.007"	"11.875"
"34.000"	"1.991"	"-0.017"	"0.025"	"10.870"
"35.000"	"2.255"	"-0.034"	"0.013"	"11.441"
"36.000"	"2.473"	"-0.035"	"-0.009"	"11.151"
"37.000"	"2.744"	"-0.008"	"-0.039"	"10.252"
"38.000"	"3.018"	"-0.007"	"-0.036"	"10.683"
"39.000"	"3.284"	"0.038"	"-0.038"	"10.469"
"40.000"	"3.625"	"0.030"	"-0.017"	"9.535"
"41.000"	"3.826"	"0.017"	"0.011"	"10.002"
"42.000"	"4.183"	"-0.005"	"0.006"	"9.773"
"43.000"	"4.325"	"-0.040"	"0.045"	"9.611"
